Heure,IP source,IP destination,Flag,Seq,Length
11:42:04.766656,BP-Linux8.ssh,192.168.190.130.50019:,[P.],"2243505564:2243505672,","108
"
11:42:04.766694,BP-Linux8.ssh,192.168.190.130.50019:,[P.],"108:144,","36
"
11:42:04.766723,BP-Linux8.ssh,192.168.190.130.50019:,[P.],"144:252,","108
"
11:42:04.766744,BP-Linux8.ssh,192.168.190.130.50019:,[P.],"252:288,","36
"
11:42:04.785366,192.168.190.130.50019,BP-Linux8.ssh:,[.],"1601828178:1601828214,","0
"
11:42:04.785384,192.168.190.130.50019,BP-Linux8.ssh:,[.],"1:37,","0
"
11:42:04.785406,192.168.190.130.50019,BP-Linux8.ssh:,[.],"37:153,","0
"
11:42:04.785454,192.168.190.130.50019,BP-Linux8.ssh:,[.],"153:189,","0
"
11:42:05.768334,BP-Linux8.58466,ns1.lan.rt.domain:,[P.],"326991629:326991749,","36
"
11:42:05.769075,ns1.lan.rt.domain,BP-Linux8.58466:,[P.],"920517760:920517880,","36
"
11:42:06.669393,192.168.190.130.50245,BP-Linux8.ssh:,[P.],"556803824:556803944,","116
"
11:42:06.669906,BP-Linux8.ssh,192.168.190.130.50245:,[P.],"1921632185:1921632305,","36
"
11:42:06.679262,BP-Linux8.53220,ns1.lan.rt.domain:,[S],"1170972654:1170972774,",120:
11:42:06.679971,ns1.lan.rt.domain,BP-Linux8.53220:,[S],"754504426:754504546,",120:
11:42:06.681188,BP-Linux8.ssh,192.168.190.130.50245:,[S],"669863147:669863267,",120:
11:42:06.681222,BP-Linux8.ssh,192.168.190.130.50245:,[S],"1036593434:1036593554,",120:
11:42:06.681248,190-0-175-100.gba.solunet.com.ar.2465,184.107.43.74.http:,[S],"473640609:473640729,",120:
11:42:06.681274,190-0-175-100.gba.solunet.com.ar.2466,184.107.43.74.http:,[S],"294639309:294639429,",120:
11:42:06.681294,190-0-175-100.gba.solunet.com.ar.2467,184.107.43.74.http:,[S],"2003734750:2003734870,",120:
11:42:06.681312,190-0-175-100.gba.solunet.com.ar.2468,184.107.43.74.http:,[S],"943277646:943277766,",120:
11:42:06.681328,190-0-175-100.gba.solunet.com.ar.2469,184.107.43.74.http:,[S],"612921749:612921869,",120:
11:42:06.681345,190-0-175-100.gba.solunet.com.ar.2470,184.107.43.74.http:,[S],"1079269685:1079269805,",120:
11:42:06.681362,190-0-175-100.gba.solunet.com.ar.2471,184.107.43.74.http:,[S],"1427118982:1427119102,",120:
11:42:06.681379,190-0-175-100.gba.solunet.com.ar.2472,184.107.43.74.http:,[S],"1481846896:1481847016,",120:
11:42:06.681396,190-0-175-100.gba.solunet.com.ar.2473,184.107.43.74.http:,[S],"807245684:807245804,",120:
11:42:06.681413,190-0-175-100.gba.solunet.com.ar.2474,184.107.43.74.http:,[S],"29032482:29032602,",120:
11:42:06.681430,190-0-175-100.gba.solunet.com.ar.2475,184.107.43.74.http:,[S],"2121432424:2121432544,",120:
11:42:06.681446,190-0-175-100.gba.solunet.com.ar.2476,184.107.43.74.http:,[S],"266983944:266984064,",120:
11:42:06.681463,190-0-175-100.gba.solunet.com.ar.2477,184.107.43.74.http:,[S],"780253659:780253779,",120:
11:42:06.681480,190-0-175-100.gba.solunet.com.ar.2478,184.107.43.74.http:,[S],"426927737:426927857,",120:
11:42:06.681497,190-0-175-100.gba.solunet.com.ar.2479,184.107.43.74.http:,[S],"2059846495:2059846615,",120:
11:42:06.681514,190-0-175-100.gba.solunet.com.ar.2480,184.107.43.74.http:,[S],"485695892:485696012,",120:
11:42:06.681531,190-0-175-100.gba.solunet.com.ar.2481,184.107.43.74.http:,[S],"1506899314:1506899434,",120:
11:42:06.681548,190-0-175-100.gba.solunet.com.ar.2482,184.107.43.74.http:,[S],"1974670292:1974670412,",120:
11:42:06.681564,190-0-175-100.gba.solunet.com.ar.2483,184.107.43.74.http:,[S],"984948282:984948402,",120:
11:42:06.681581,190-0-175-100.gba.solunet.com.ar.2484,184.107.43.74.http:,[S],"2071134208:2071134328,",120:
11:42:06.681597,190-0-175-100.gba.solunet.com.ar.2485,184.107.43.74.http:,[S],"582048290:582048410,",120:
11:42:06.681614,190-0-175-100.gba.solunet.com.ar.2486,184.107.43.74.http:,[S],"1414722580:1414722700,",120:
11:42:06.681630,190-0-175-100.gba.solunet.com.ar.2487,184.107.43.74.http:,[S],"1376167161:1376167281,",120:
11:42:06.681647,190-0-175-100.gba.solunet.com.ar.2488,184.107.43.74.http:,[S],"793373662:793373782,",120:
11:42:06.681664,190-0-175-100.gba.solunet.com.ar.2489,184.107.43.74.http:,[S],"586859843:586859963,",120:
11:42:06.681681,190-0-175-100.gba.solunet.com.ar.2490,184.107.43.74.http:,[S],"1313429529:1313429649,",120:
11:42:06.681697,190-0-175-100.gba.solunet.com.ar.2491,184.107.43.74.http:,[S],"599747608:599747728,",120:
11:42:06.681722,190-0-175-100.gba.solunet.com.ar.2492,184.107.43.74.http:,[S],"1764270382:1764270502,",120:
11:42:06.681739,190-0-175-100.gba.solunet.com.ar.2493,184.107.43.74.http:,[S],"1266534982:1266535102,",120:
11:42:06.681756,190-0-175-100.gba.solunet.com.ar.2494,184.107.43.74.http:,[S],"1923888203:1923888323,",120:
11:42:06.681773,190-0-175-100.gba.solunet.com.ar.2495,184.107.43.74.http:,[S],"477956184:477956304,",120:
11:42:06.681789,190-0-175-100.gba.solunet.com.ar.2496,184.107.43.74.http:,[S],"1697346829:1697346949,",120:
11:42:06.681806,190-0-175-100.gba.solunet.com.ar.2497,184.107.43.74.http:,[S],"1581732153:1581732273,",120:
11:42:06.681823,190-0-175-100.gba.solunet.com.ar.2498,184.107.43.74.http:,[S],"2134846905:2134847025,",120:
11:42:06.681839,190-0-175-100.gba.solunet.com.ar.2499,184.107.43.74.http:,[S],"5001436:5001556,",120:
11:42:06.681856,190-0-175-100.gba.solunet.com.ar.2500,184.107.43.74.http:,[S],"100084791:100084911,",120:
11:42:06.681872,190-0-175-100.gba.solunet.com.ar.2501,184.107.43.74.http:,[S],"1351883007:1351883127,",120:
11:42:06.681889,190-0-175-100.gba.solunet.com.ar.2502,184.107.43.74.http:,[S],"892547770:892547890,",120:
11:42:06.681906,190-0-175-100.gba.solunet.com.ar.2503,184.107.43.74.http:,[S],"203925976:203926096,",120:
11:42:06.681924,190-0-175-100.gba.solunet.com.ar.2504,184.107.43.74.http:,[S],"93263311:93263431,",120:
11:42:06.681941,190-0-175-100.gba.solunet.com.ar.2505,184.107.43.74.http:,[S],"589592255:589592375,",120:
11:42:06.681958,190-0-175-100.gba.solunet.com.ar.2506,184.107.43.74.http:,[S],"1666861586:1666861706,",120:
11:42:06.681975,190-0-175-100.gba.solunet.com.ar.2507,184.107.43.74.http:,[S],"1444571600:1444571720,",120:
11:42:06.681992,190-0-175-100.gba.solunet.com.ar.2508,184.107.43.74.http:,[S],"702975955:702976075,",120:
11:42:06.682008,190-0-175-100.gba.solunet.com.ar.2509,184.107.43.74.http:,[S],"2016486038:2016486158,",120:
11:42:06.682025,190-0-175-100.gba.solunet.com.ar.2510,184.107.43.74.http:,[S],"1002497398:1002497518,",120:
11:42:06.682041,190-0-175-100.gba.solunet.com.ar.2511,184.107.43.74.http:,[S],"294189577:294189697,",120:
11:42:06.682058,190-0-175-100.gba.solunet.com.ar.2512,184.107.43.74.http:,[S],"1398461889:1398462009,",120:
11:42:06.682075,190-0-175-100.gba.solunet.com.ar.2513,184.107.43.74.http:,[S],"1995017329:1995017449,",120:
11:42:06.682092,190-0-175-100.gba.solunet.com.ar.2514,184.107.43.74.http:,[S],"921320533:921320653,",120:
11:42:06.682108,190-0-175-100.gba.solunet.com.ar.2515,184.107.43.74.http:,[S],"248505708:248505828,",120:
11:42:06.682125,190-0-175-100.gba.solunet.com.ar.2516,184.107.43.74.http:,[S],"558621145:558621265,",120:
11:42:06.682152,190-0-175-100.gba.solunet.com.ar.2517,184.107.43.74.http:,[S],"1118905776:1118905896,",120:
11:42:06.682172,190-0-175-100.gba.solunet.com.ar.2518,184.107.43.74.http:,[S],"1158043116:1158043236,",120:
11:42:06.682191,190-0-175-100.gba.solunet.com.ar.2519,184.107.43.74.http:,[S],"1469406826:1469406946,",120:
11:42:06.682210,190-0-175-100.gba.solunet.com.ar.2520,184.107.43.74.http:,[S],"492373102:492373222,",120:
11:42:06.682227,190-0-175-100.gba.solunet.com.ar.2521,184.107.43.74.http:,[S],"1687855121:1687855241,",120:
11:42:06.682243,190-0-175-100.gba.solunet.com.ar.2522,184.107.43.74.http:,[S],"1360633195:1360633315,",120:
11:42:06.682259,190-0-175-100.gba.solunet.com.ar.2523,184.107.43.74.http:,[S],"1274977706:1274977826,",120:
11:42:06.682276,190-0-175-100.gba.solunet.com.ar.2524,184.107.43.74.http:,[S],"549939990:549940110,",120:
11:42:06.682292,190-0-175-100.gba.solunet.com.ar.2525,184.107.43.74.http:,[S],"1109408249:1109408369,",120:
11:42:06.682308,190-0-175-100.gba.solunet.com.ar.2526,184.107.43.74.http:,[S],"1283855019:1283855139,",120:
11:42:06.682325,190-0-175-100.gba.solunet.com.ar.2527,184.107.43.74.http:,[S],"623143483:623143603,",120:
11:42:06.682341,190-0-175-100.gba.solunet.com.ar.2528,184.107.43.74.http:,[S],"709005792:709005912,",120:
11:42:06.682357,190-0-175-100.gba.solunet.com.ar.2529,184.107.43.74.http:,[S],"1528805205:1528805325,",120:
11:42:06.682374,190-0-175-100.gba.solunet.com.ar.2530,184.107.43.74.http:,[S],"940059508:940059628,",120:
11:42:06.682390,190-0-175-100.gba.solunet.com.ar.2531,184.107.43.74.http:,[S],"1190337142:1190337262,",120:
11:42:06.682407,190-0-175-100.gba.solunet.com.ar.2532,184.107.43.74.http:,[S],"1484037464:1484037584,",120:
11:42:06.682423,190-0-175-100.gba.solunet.com.ar.2533,184.107.43.74.http:,[S],"566224598:566224718,",120:
11:42:06.682439,190-0-175-100.gba.solunet.com.ar.2534,184.107.43.74.http:,[S],"788308167:788308287,",120:
11:42:06.682455,190-0-175-100.gba.solunet.com.ar.2535,184.107.43.74.http:,[S],"96067834:96067954,",120:
11:42:06.682472,190-0-175-100.gba.solunet.com.ar.2536,184.107.43.74.http:,[S],"1226579504:1226579624,",120:
11:42:06.682488,190-0-175-100.gba.solunet.com.ar.2537,184.107.43.74.http:,[S],"1551737466:1551737586,",120:
11:42:06.682504,190-0-175-100.gba.solunet.com.ar.2538,184.107.43.74.http:,[S],"368629672:368629792,",120:
11:42:06.682521,190-0-175-100.gba.solunet.com.ar.2539,184.107.43.74.http:,[S],"527715727:527715847,",120:
11:42:06.682537,190-0-175-100.gba.solunet.com.ar.2540,184.107.43.74.http:,[S],"1897998019:1897998139,",120:
11:42:06.682553,190-0-175-100.gba.solunet.com.ar.2541,184.107.43.74.http:,[S],"1187006652:1187006772,",120:
11:42:06.682570,190-0-175-100.gba.solunet.com.ar.2542,184.107.43.74.http:,[S],"836414851:836414971,",120:
11:42:06.682586,190-0-175-100.gba.solunet.com.ar.2543,184.107.43.74.http:,[S],"97200857:97200977,",120:
11:42:06.682602,190-0-175-100.gba.solunet.com.ar.2544,184.107.43.74.http:,[S],"964382000:964382120,",120:
11:42:06.682619,190-0-175-100.gba.solunet.com.ar.2545,184.107.43.74.http:,[S],"64311516:64311636,",120:
11:42:06.682635,190-0-175-100.gba.solunet.com.ar.2546,184.107.43.74.http:,[S],"1940462409:1940462529,",120:
11:42:06.682652,190-0-175-100.gba.solunet.com.ar.2547,184.107.43.74.http:,[S],"709004881:709005001,",120:
11:42:06.682668,190-0-175-100.gba.solunet.com.ar.2548,184.107.43.74.http:,[S],"1783812004:1783812124,",120:
11:42:06.682684,190-0-175-100.gba.solunet.com.ar.2549,184.107.43.74.http:,[S],"2027959598:2027959718,",120:
11:42:06.682700,190-0-175-100.gba.solunet.com.ar.2550,184.107.43.74.http:,[S],"763370841:763370961,",120:
11:42:06.682717,190-0-175-100.gba.solunet.com.ar.2551,184.107.43.74.http:,[S],"629902483:629902603,",120:
11:42:06.682733,190-0-175-100.gba.solunet.com.ar.2552,184.107.43.74.http:,[S],"1167925997:1167926117,",120:
11:42:06.682749,190-0-175-100.gba.solunet.com.ar.2553,184.107.43.74.http:,[S],"1590590930:1590591050,",120:
11:42:06.682765,190-0-175-100.gba.solunet.com.ar.2554,184.107.43.74.http:,[S],"1025391341:1025391461,",120:
11:42:06.682782,190-0-175-100.gba.solunet.com.ar.2555,184.107.43.74.http:,[S],"22267219:22267339,",120:
11:42:06.682798,190-0-175-100.gba.solunet.com.ar.2556,184.107.43.74.http:,[S],"1838110461:1838110581,",120:
11:42:06.682814,190-0-175-100.gba.solunet.com.ar.2557,184.107.43.74.http:,[S],"1314325144:1314325264,",120:
11:42:06.682832,190-0-175-100.gba.solunet.com.ar.2558,184.107.43.74.http:,[S],"1221538397:1221538517,",120:
11:42:06.682848,190-0-175-100.gba.solunet.com.ar.2559,184.107.43.74.http:,[S],"121272366:121272486,",120:
11:42:06.682865,190-0-175-100.gba.solunet.com.ar.2560,184.107.43.74.http:,[S],"1689815904:1689816024,",120:
11:42:06.682881,190-0-175-100.gba.solunet.com.ar.2561,184.107.43.74.http:,[S],"424777574:424777694,",120:
11:42:06.682898,190-0-175-100.gba.solunet.com.ar.2562,184.107.43.74.http:,[S],"1811461816:1811461936,",120:
11:42:06.682915,190-0-175-100.gba.solunet.com.ar.2563,184.107.43.74.http:,[S],"891455149:891455269,",120:
11:42:06.682931,190-0-175-100.gba.solunet.com.ar.2564,184.107.43.74.http:,[S],"378465819:378465939,",120:
11:42:06.682947,190-0-175-100.gba.solunet.com.ar.2565,184.107.43.74.http:,[S],"1060801994:1060802114,",120:
11:42:06.682964,190-0-175-100.gba.solunet.com.ar.2566,184.107.43.74.http:,[S],"887047860:887047980,",120:
11:42:06.682980,190-0-175-100.gba.solunet.com.ar.2567,184.107.43.74.http:,[S],"1083782921:1083783041,",120:
11:42:06.682997,190-0-175-100.gba.solunet.com.ar.2568,184.107.43.74.http:,[S],"1055260995:1055261115,",120:
11:42:06.683013,190-0-175-100.gba.solunet.com.ar.2569,184.107.43.74.http:,[S],"1170111755:1170111875,",120:
11:42:06.683038,190-0-175-100.gba.solunet.com.ar.2570,184.107.43.74.http:,[S],"1956050927:1956051047,",120:
11:42:06.683058,190-0-175-100.gba.solunet.com.ar.2571,184.107.43.74.http:,[S],"1016109235:1016109355,",120:
11:42:06.683077,190-0-175-100.gba.solunet.com.ar.2572,184.107.43.74.http:,[S],"1684776979:1684777099,",120:
11:42:06.683096,190-0-175-100.gba.solunet.com.ar.2573,184.107.43.74.http:,[S],"503501716:503501836,",120:
11:42:06.683115,190-0-175-100.gba.solunet.com.ar.2574,184.107.43.74.http:,[S],"1864451598:1864451718,",120:
11:42:06.683131,190-0-175-100.gba.solunet.com.ar.2575,184.107.43.74.http:,[S],"289557681:289557801,",120:
11:42:06.683148,190-0-175-100.gba.solunet.com.ar.2576,184.107.43.74.http:,[S],"138098778:138098898,",120:
11:42:06.683164,190-0-175-100.gba.solunet.com.ar.2577,184.107.43.74.http:,[S],"1203053650:1203053770,",120:
11:42:06.683181,190-0-175-100.gba.solunet.com.ar.2578,184.107.43.74.http:,[S],"2045943531:2045943651,",120:
11:42:06.683197,190-0-175-100.gba.solunet.com.ar.2579,184.107.43.74.http:,[S],"155613128:155613248,",120:
11:42:06.683214,190-0-175-100.gba.solunet.com.ar.2580,184.107.43.74.http:,[S],"1854989337:1854989457,",120:
11:42:06.683230,190-0-175-100.gba.solunet.com.ar.2581,184.107.43.74.http:,[S],"1464992055:1464992175,",120:
11:42:06.683246,190-0-175-100.gba.solunet.com.ar.2582,184.107.43.74.http:,[S],"1763007414:1763007534,",120:
11:42:06.683262,190-0-175-100.gba.solunet.com.ar.mon,184.107.43.74.http:,[S],"1769477762:1769477882,",120:
11:42:06.683279,190-0-175-100.gba.solunet.com.ar.2584,184.107.43.74.http:,[S],"927510383:927510503,",120:
11:42:06.683295,190-0-175-100.gba.solunet.com.ar.2585,184.107.43.74.http:,[S],"262496618:262496738,",120:
11:42:06.683311,190-0-175-100.gba.solunet.com.ar.2586,184.107.43.74.http:,[S],"1944187333:1944187453,",120:
11:42:06.683328,190-0-175-100.gba.solunet.com.ar.2587,184.107.43.74.http:,[S],"1368242046:1368242166,",120:
11:42:06.683344,190-0-175-100.gba.solunet.com.ar.2588,184.107.43.74.http:,[S],"1996469549:1996469669,",120:
11:42:06.683360,190-0-175-100.gba.solunet.com.ar.2589,184.107.43.74.http:,[S],"755440943:755441063,",120:
11:42:06.683376,190-0-175-100.gba.solunet.com.ar.2590,184.107.43.74.http:,[S],"2061395892:2061396012,",120:
11:42:06.683393,190-0-175-100.gba.solunet.com.ar.2591,184.107.43.74.http:,[S],"1161699354:1161699474,",120:
11:42:06.683409,190-0-175-100.gba.solunet.com.ar.2592,184.107.43.74.http:,[S],"628612553:628612673,",120:
11:42:06.683426,190-0-175-100.gba.solunet.com.ar.2593,184.107.43.74.http:,[S],"126113657:126113777,",120:
11:42:06.683442,190-0-175-100.gba.solunet.com.ar.2594,184.107.43.74.http:,[S],"545657814:545657934,",120:
11:42:06.683458,190-0-175-100.gba.solunet.com.ar.2595,184.107.43.74.http:,[S],"118227196:118227316,",120:
11:42:06.683475,190-0-175-100.gba.solunet.com.ar.2596,184.107.43.74.http:,[S],"2052107445:2052107565,",120:
11:42:06.683491,190-0-175-100.gba.solunet.com.ar.2597,184.107.43.74.http:,[S],"791895479:791895599,",120:
11:42:06.683507,190-0-175-100.gba.solunet.com.ar.2598,184.107.43.74.http:,[S],"1716341514:1716341634,",120:
11:42:06.683524,190-0-175-100.gba.solunet.com.ar.2599,184.107.43.74.http:,[S],"1585739250:1585739370,",120:
